dialogue,duration,word_count,has_qmark,has_exclaim,has_ellipsis
"Well, my dad was a farmer.",2.085,6,0,0,0
"Um, like everybody else back then.",2.459,6,0,0,0
"Of course, he didn't start that way.",2.167,7,0,0,0
Computer says you're too tight.,1.92,5,0,0,0
"- Nah, I got this. - Crossing the Straights.",2.543,9,0,0,0
"- Shutting it down, Cooper. - No!",1.751,7,0,1,0
"- Shutting it all down. - No, I need power up!",2.418,11,0,1,0
Dad?,1.042,1,1,0,0
"Sorry, Murph. Go back to bed.",2.501,6,0,0,0
- I thought you were the ghost. - No.,2.502,9,0,0,0
"There are no such things as ghosts, babe.",2.001,8,0,0,0
Grandpa says you can get ghosts.,2.168,6,0,0,0
Maybe that's because Grandpa's close to being one himself. Back to bed.,4.753,12,0,0,0
Were you dreaming about the crash?,1.834,6,1,0,0
"Get your butt back in bed, Murph. Heh.",2.293,8,0,0,0
The wheat had died.,1.501,4,0,0,0
The blight came and we had to burn it.,2.335,9,0,0,0
And we still had corn. We had acres of corn.,2.71,10,0,0,0
"But, uh, mostly we had dust.",2.251,6,0,0,0
I guess I can't describe it. It was just constant.,2.627,10,0,0,0
Just that steady blow... of dirt.,3.878,6,0,0,1
"We wore, um, little strips of sheet...",3.086,7,0,0,1
sometimes over our nose and mouth...,2.71,6,0,0,1
so that we wouldn't breathe so much of it.,2.502,9,0,0,0
"When we set the table, we always set the plate...",2.501,10,0,0,1
"upside-down. Glasses or cups, whatever it was...",2.919,7,0,0,1
upside-down.,1.166,1,0,0,0
"Shake a leg! Murph, get a move on!",2.251,8,0,1,0
"Tom, 4:00 today, you and me in the barn, Herbicide Resistance 101.",3.46,12,0,0,0
"- Check? - Yes, sir.",1.501,5,1,0,0
"Not at the table, Murph.",1.667,5,0,0,0
"Dad, can you fix this?",1.834,5,1,0,0
What the heck did you do...,1.36,6,0,0,1
- to my lander? - Wasn't me.,1.166,7,1,0,0
Let me guess. It was your ghost?,1.876,7,1,0,0
It knocked it off. It keeps knocking books off.,2.335,9,0,0,0
"No such thing as ghosts, dumb-ass.",1.52,6,0,0,0
Hey.,0.52,1,0,0,0
I looked it up. It's called a poltergeist.,1.594,8,0,0,0
"Dad, tell her.",1.25,3,0,0,0
"Well, it's not very scientific, Murph.",1.917,6,0,0,0
You said science was about admitting what we don't know.,2.335,10,0,0,0
- She's got you there. - Hey.,2.168,7,0,0,0
Start looking after our stuff.,1.501,5,0,0,0
Coop.,1.208,1,0,0,0
"All right, Murph, you want to talk science?",2.167,8,1,0,0
"Don't tell me you're afraid of some ghost. No, you got to go further.",3.252,14,0,0,0
"You got to record the facts, analyze, get to the how and the why...",3.169,14,0,0,1
then present your conclusions. Deal?,2.919,5,1,0,0
- Deal. - All right.,1.417,5,0,0,0
- Have a good day at school. - Hold up.,2.167,10,0,0,0
Parent-teacher conferences. Parent.,2.293,3,0,0,0
Not grandparent.,1.959,2,0,0,0
"Slow down, turbo!",1.835,3,0,1,0
- That's not a dust storm. - Nelson's torching his whole crop.,3.127,12,0,0,0
Blight?,1.376,1,1,0,0
They're saying it's the last harvest for okra.,2.419,8,0,0,0
Ever.,1.167,1,0,0,0
He should've planted corn like the rest of us.,2.627,9,0,0,0
"Now, be nice to that Miss Hanley. She's single.",2.71,9,0,0,0
What's that supposed to mean?,1.5,5,1,0,0
"Repopulating the earth. Start pulling your weight, young man.",3.127,9,0,0,0
"Why don't you start minding your own business, old man?",3.961,10,1,0,0
"All right, Murph, give me second.",1.667,6,0,0,0
Uh-huh.,1.209,1,0,0,0
Third.,1.375,1,0,0,0
"- Find a gear, dumb-ass. - Grind it!",1.667,8,0,1,0
"Shut it, Tom!",1.042,3,0,1,0
"- What'd you do, Murph? - Ah, she didn't do nothing.",2.335,11,1,0,0
- Blew a tire is all. - Murphy's Law.,2.501,9,0,0,0
Shut up!,1.333,2,0,1,0
"- Grab the spare, Tom. - That is the spare.",1.751,10,0,0,0
Get the patch kit!,1.501,4,0,1,0
How am I supposed to patch it out here? COOPER: You got to figure it out.,3.21,16,1,0,0
I'm not always gonna be here to help you.,1.96,9,0,0,0
"What's going on, Murph?",1.75,4,1,0,0
Why did you and Mom name me after something that's bad?,3.211,11,1,0,0
We didn't.,1.375,2,0,0,0
Murphy's Law?,1.501,2,1,0,0
Murphy's Law doesn't mean that something bad will happen.,4.087,9,0,0,0
What it means is whatever can happen will happen.,3.378,9,0,0,0
And that sounded just fine with us.,2.543,7,0,0,0
Whoa!,1.543,1,0,1,0
Get in.,1.292,2,0,0,0
"Get in, let's go.",1.417,4,0,0,0
What about the flat tire?,2.126,5,1,0,0
Yeah.,1.334,1,0,0,0
It's an Indian Air Force drone. Solar cells could power an entire farm.,4.003,13,0,0,0
"Take the wheel, Tom.",1.459,4,0,0,0
"Go, go, go!",1.334,3,0,1,0
Keep that aimed right at it.,1.667,6,0,0,0
"Faster, Tom. I'm losing it.",2.418,5,0,0,0
Right at it.,1.042,3,0,0,0
Stay on it.,1.042,3,0,0,0
Here we go.,1.084,3,0,0,0
Whoa.,1.209,1,0,0,0
"Nice one, Tom.",1.584,3,0,0,0
Dad?,1.376,1,1,0,0
I almost got it. Don't stop. Don't stop!,2.752,8,0,1,0
Dad!,1.042,1,0,1,0
Tom!,1.208,1,0,1,0
You told me to keep driving.,2.334,6,0,0,0
"Well, I guess that answers the old ""if I asked you to drive off a cliff"" scenario.",4.462,17,0,0,0
"- We lost it. - No, we didn't.",2.835,8,0,0,0
Want to give it a whirl?,1.668,6,1,0,0
This way.,1.375,2,0,0,0
Go.,1.084,1,0,0,0
Let's lay her down right there at the edge of the reservoir.,3.002,12,0,0,0
Nicely done.,1.709,2,0,0,0
How long you think it's been up there?,1.876,8,1,0,0
"Delhi Mission Control went down, same as ours...",2.544,8,0,0,1
- ten years ago. - Heh.,1.834,6,0,0,0
So for ten years?,1.918,4,1,0,0
- Why did it come down so low? - I don't know.,2.627,12,1,0,0
Maybe the sun cooked its brain or it was looking for something.,2.918,12,0,0,0
- What? - Give me a large flatblade.,2.251,8,1,0,0
Maybe some kind of signal? I don't know.,2.669,8,1,0,0
What are you gonna do with it?,1.501,7,1,0,0
I'm gonna give it something socially responsible to do...,3.169,9,0,0,1
like drive a combine.,1.333,4,0,0,0
Can't we just let it go?,1.501,6,1,0,0
It wasn't hurting anybody.,1.667,4,0,0,0
"This thing needs to learn how to adapt, Murph...",2.501,9,0,0,1
like the rest of us.,1.5,5,0,0,0
How's this work? You guys come with?,1.72,7,1,0,0
I've got class.,1.042,3,0,0,0
This one needs to wait.,2.376,5,0,0,0
- What did you do? - They'll tell you about it in there.,2.793,13,1,0,0
- Am I gonna be mad? - Not with me.,2.168,10,1,0,0
- Just please try not to. - Hey. Relax.,3.168,9,0,0,0
I got this.,1.333,3,0,0,0
"Little late, Coop.",1.292,3,0,0,0
"Yeah, we had a flat.",1.542,5,0,0,0
And I guess you had to stop off at the Asian fighter plane store.,3.544,14,0,0,0
"No, actually, sir, that's a surveillance drone.",3.586,7,0,0,0
With outstanding solar cells. It's Indian.,2.752,6,0,0,0
Take a seat.,1.334,3,0,0,0
"So, uh...",1.5,2,0,0,1
we got Tom's scores back.,2.585,5,0,0,0
He's going to make an excellent farmer.,1.96,7,0,0,0
"Yeah, he's got a knack for it. What about college?",3.502,10,1,0,0
The university only takes a handful. They don't have the resources to...,3.753,12,0,0,1
I still pay my taxes.,2.292,5,0,0,0
Where's that money go? There's no more armies.,2.001,8,1,0,0
"Well, it doesn't go to the university.",2.334,7,0,0,0
"Look, Coop, you have to be realistic.",1.626,7,0,0,0
You're ruling my son out for college now?,2.793,8,1,0,0
- The kid's 15. - Tom's score simply isn't high enough.,3.502,11,0,0,0
"What's your waistline? About what, 32?",2.168,6,1,0,0
About a 33 inseam?,1.1,4,1,0,0
I'm not sure I see what you're getting at.,2.557,9,0,0,0
It takes two numbers to measure your ass but only one to measure my son's future?,4.42,16,1,0,0
"Come on. You're a well-educated man, Coop.",2.877,7,0,0,0
- And a trained pilot. - And an engineer.,1.959,9,0,0,0
"Okay, well, right now we don't need more engineers.",4.753,9,0,0,0
We didn't run out of television screens and planes. We ran out of food.,4.337,14,0,0,0
"The world needs farmers. Good farmers, like you.",3.42,8,0,0,0
- And Tom. - Uneducated farmers.,2.377,6,0,0,0
"We're a caretaker generation, Coop. And things are getting better.",3.92,10,0,0,0
Maybe your grandkids will get to be engin...,2.029,8,0,0,1
"Are we done here, sir?",1.086,5,1,0,0
No.,1.083,1,0,0,0
Miss Hanley's here to talk about Murph.,2.168,7,0,0,0
Murph is a great kid. She's really bright.,2.543,8,0,0,0
But she's been having a little trouble lately.,2.251,8,0,0,0
She brought this in to show the students. The section on the lunar landings.,3.377,14,0,0,0
"Yeah, it's one of my old textbooks.",2.502,7,0,0,0
She always loved the pictures.,2.001,5,0,0,0
It's an old federal textbook. We've replaced them with the corrected versions.,3.711,12,0,0,0
Corrected?,1.042,1,1,0,0
Explaining how the Apollo missions were faked to bankrupt the Soviet Union.,4.128,12,0,0,0
You don't believe we went to the moon?,1.959,8,1,0,0
It was a brilliant piece of propaganda.,2.001,7,0,0,0
The Soviets bankrupted themselves pouring resources...,2.835,6,0,0,1
into rockets and other useless machines.,2.251,6,0,0,0
"""Useless machines.""",1.084,2,0,0,0
"If we don't want a repeat of the excess and wastefulness of the 20th century, then...",4.086,16,0,0,1
"we need to teach our kids about this planet, not tales of leaving it.",3.794,14,0,0,0
One of those useless machines they used to make was called an MRI.,4.003,13,0,0,0
"If we had any of those left, the doctors would've been able to find...",3.335,14,0,0,1
the cyst in my wife's brain before she died instead of afterwards.,3.753,12,0,0,0
Then she'd have been the one listening to this instead of me...,3.085,12,0,0,1
"which would have been a good thing, because she was always...",3.086,11,0,0,1
the calmer one.,1.501,3,0,0,0
"I'm sorry about your wife, Mr. Cooper.",2.085,7,0,0,0
But Murph got into a fistfight with several of her classmates over this...,3.669,13,0,0,1
Apollo nonsense.,1.667,2,0,0,0
So we thought it best to bring you in and see what ideas...,2.46,13,0,0,1
you might have for dealing with her behavior on the home front.,2.668,12,0,0,0
"Yeah, you know what? Um, there's a game tomorrow night.",3.043,10,1,0,0
She's going through a bit of a baseball phase.,2.126,9,0,0,0
Her favorite team is playing. There's gonna be candy and soda and...,4.212,12,0,0,1
I think I'll take her to that.,1.834,7,0,0,0
How'd it go?,1.25,3,1,0,0
I got you suspended.,1.876,4,0,0,0
- What? - Cooper.,1.334,4,1,0,0
This is Cooper. Go.,1.167,4,0,0,0
"Coop, those combines you rebuilt went haywire.",2.835,7,0,0,0
Just reset the controllers.,2.168,4,0,0,0
I did that. Now you should come take a look.,2.627,10,0,0,0
One by one they've been peeling off the fields and heading over.,3.002,12,0,0,0
Something's interfering with the compass.,1.834,5,0,0,0
Magnetism or some such.,2.376,4,0,0,0
Nothing special about which book.,1.667,5,0,0,0
"I've been working on it, like you said.",2.251,8,0,0,0
- I counted the spaces. - Why?,2.501,7,1,0,0
In case the ghost is trying to communicate.,2.084,8,0,0,0
I'm trying Morse.,1.542,3,0,0,0
Morse?,1.25,1,1,0,0
Yeah.,1.083,1,0,0,0
"- Dots and dashes, used... - I know what Morse code is, Murph.",2.627,13,0,0,1
I just don't think your bookshelf's trying to talk to you.,2.918,11,0,0,0
Had to reset every compass clock and GPS to offset for the anomaly.,4.378,13,0,0,0
- Which is? - I don't know.,2.544,7,1,0,0
If the house was built on magnetic ore...,2.126,8,0,0,1
we'd have seen this the first time we switched on the tractor.,3.085,12,0,0,0
I hear your meeting at the school didn't go so well.,3.169,11,0,0,0
Heh. You heard?,1.709,3,1,0,0
"It's like we've forgotten who we are, Donald.",2.835,8,0,0,0
"Explorers, pioneers, not caretakers.",3.503,4,0,0,0
When I was a kid...,1.625,5,0,0,1
it felt like they made something new every day. Some...,4.128,10,0,0,1
gadget or idea. Like every day was Christmas.,3.294,8,0,0,0
But six billion people...,2.669,4,0,0,1
just try to imagine that.,2.001,5,0,0,0
And every last one of them trying to have it all.,3.002,11,0,0,0
This world isn't so bad.,1.918,5,0,0,0
And Tom will do just fine.,2.21,6,0,0,0
"You're the one who doesn't belong. Born 40 years too late, or 40 years too early.",4.379,16,0,0,0
"My daughter knew it, God bless her.",2.501,7,0,0,0
And your kids know it. Especially Murph.,2.794,7,0,0,0
"Well, we used to look up in the sky and wonder...",3.419,11,0,0,1
at our place in the stars.,2.377,6,0,0,0
Now we just look down and worry about our place in the dirt.,4.378,13,0,0,0
"Cooper, you were good at something...",2.836,6,0,0,1
and you never got a chance to do anything with it.,2.502,11,0,0,0
I'm sorry.,1.334,2,0,0,0
You didn't expect...,1.417,3,0,0,1
this dirt that was giving you this food...,2.543,8,0,0,1
to turn on you like that and destroy you.,3.085,9,0,0,0
"In April... I believe I'm right... Fifteenth of April, I think.",4.128,11,0,0,1
This happened about 1:30 when that thing...,2.293,7,0,0,1
came off the top of that canyon.,1.751,7,0,0,0
"In my day, we had real ballplayers.",2.126,7,0,0,0
Who are these bums?,1.751,4,1,0,0
"In my day, people were too busy...",2.502,7,0,0,1
fighting over food to even play baseball.,2.043,7,0,0,0
Popcorn at a ballgame is unnatural. I want a hot dog.,4.879,11,0,0,0
School says you're gonna follow in my footsteps.,2.126,8,0,0,0
I think that's great.,1.5,4,0,0,0
"- You think that's great? - You hate farming, Dad.",3.294,10,1,0,0
Grandpa said.,1.625,2,0,0,0
"Grandpa said, huh?",1.417,3,1,0,0
"Listen, all that matters is how you feel about it.",2.543,10,0,0,0
I like what you do.,1.668,5,0,0,0
I like our farm.,1.5,4,0,0,0
You're gonna be great at it.,1.626,6,0,0,0
Let's get out of here.,1.501,5,0,0,0
"All right, it's a doozy.",2.001,5,0,0,0
"All right, gang, let's mask up.",1.834,6,0,0,0
- Tom? Murph? Check? - Yeah.,2.001,6,1,0,0
"Murph, Tom, you guys shut your windows?",2.585,7,1,0,0
Murph?,1.084,1,1,0,0
The ghost.,1.292,2,0,0,0
Grab your pillow.,1.626,3,0,0,0
You're sleeping in with Tom.,1.835,5,0,0,0
It's not a ghost.,1.668,4,0,0,0
It's gravity.,1.417,2,0,0,0
"I'm dropping Tom, then heading to town.",2.251,7,0,0,0
You want to clean that up when you've finished praying to it?,4.17,12,1,0,0
"It's not Morse, Murph. It's binary.",2.252,6,0,0,0
"Thick is one, thin is zero.",1.959,6,0,0,0
Coordinates.,1.334,1,0,0,0
Nope. Mm-mm.,2.501,2,0,0,0
Here we go.,1.167,3,0,0,0
Thirty-three.,1.375,1,0,0,0
That's it.,1.041,2,0,0,0
I can't miss this!,1.501,4,0,1,0
"Grandpa will be back in a couple hours, Murph.",3.169,9,0,0,0
But you don't know what you're gonna find.,2.668,8,0,0,0
And that...,1.334,2,0,0,1
is why I can't take you.,2.084,6,0,0,0
Murph?,1.125,1,1,0,0
Grandpa will be home in a while. Tell him I'll call him on the radio.,3.503,15,0,0,0
- Aah! - Jesus.,1.25,4,0,1,0
- What are you doing? - Heh-heh.,1.917,7,1,0,0
"Oh, you think this is funny? Huh?",2.126,7,1,0,0
You wouldn't be here if it wasn't for me.,2.335,9,0,0,0
Make yourself useful.,2.001,3,0,0,0
"Hey, Murph?",1.334,2,1,0,0
Murph!,1.042,1,0,1,0
I think this is the end of the road.,2.335,9,0,0,0
Didn't you bring the bolt cutters?,2.043,6,1,0,0
That's my girl.,1.25,3,0,0,0
Step away!,1.25,2,0,1,0
Don't shoot! I'm not armed. My daughter's in the car.,3.085,10,0,1,0
- Don't be afraid. - Aah!,2.251,6,0,1,0
How did you find this place?,2.084,6,1,0,0
Where's my daughter?,1.334,3,1,0,0
You had the coordinates for this facility marked on your map. Where did you get them?,3.92,16,1,0,0
Where's my daughter?,1.334,3,1,0,0
Don't make me take you down again. Sit down!,2.918,9,0,1,0
"Oh, you still think you're a Marine, pal?",2.21,8,1,0,0
Marines don't exist anymore.,2.584,4,0,0,0
And I got grunts like you mowing my grass.,2.615,9,0,0,0
Where did you find those coordinates?,2.336,6,1,0,0
But you don't look much like a lawnmower.,2.584,8,0,0,0
Think I'll turn you into an overqualified vacuum cleaner.,2.835,9,0,0,0
"No, you won't.",1.209,3,0,0,0
"TARS, back down, please.",1.918,4,0,0,0
"You know, you're taking a risk using ex-military security.",3.127,9,0,0,0
"They're old, and their control units are unpredictable.",3.837,8,0,0,0
It's what the government could spare.,2.001,6,0,0,0
Who are you?,1.167,3,1,0,0
Dr. Brand.,1.334,2,0,0,0
I knew a Dr. Brand once. He was a professor.,2.376,10,0,0,0
What makes you think I'm not?,1.5,6,1,0,0
"Wasn't near as cute, either.",2.335,5,0,0,0
"Please, Dr. Brand. I don't have any idea what this is.",2.502,11,0,0,0
Now I'm scared for my daughter and want her by my side.,2.501,12,0,0,0
"You give me that, I'll tell you anything you want to know.",2.46,12,0,0,0
"Get the principals and the girl in the conference room, please.",3.002,11,0,0,0
Your daughter is fine.,1.375,4,0,0,0
Bright kid.,1.042,2,0,0,0
Must have a very smart mother.,1.834,6,0,0,0
It's pretty clear you don't want any visitors.,2.418,8,0,0,0
So why don't you just let us back up from your fence and we'll be on our way? Huh?,3.961,19,1,0,0
"- It's not that simple. - Well, sure, it is.",2.543,10,0,0,0
I don't know anything about you. I don't know anything about this place.,3.669,13,0,0,0
"Yes, you do.",1.167,3,0,0,0
Dad!,1.083,1,0,1,0
"Hello, Cooper.",1.041,2,0,0,0
Professor Brand.,1.042,2,0,0,0
Explain to me how you found this facility.,1.959,8,0,0,0
Kind of an accident. We sort of stumbled upon it. We were on a salvage run...,3.294,16,0,0,1
You're sitting in the best-kept secret in the world.,2.71,9,0,0,0
Nobody stumbles in here. Nobody stumbles out.,3.502,7,0,0,0
"Cooper, please.",1.667,2,0,0,0
Cooperate with these people.,2.084,4,0,0,0
Look.,1.209,1,0,0,0
It's kind of hard to explain.,1.668,6,0,0,0
We learned these coordinates from an anomaly.,4.17,7,0,0,0
What sort of anomaly?,1.334,4,1,0,0
"I hesitate to term it supernatural, but it definitely wasn't scientific.",3.294,11,0,0,0
"You're going to have to be specific, Mr. Cooper. Right now.",3.92,11,0,0,0
It was gravity.,1.25,3,0,0,0
"Um, what sort of gravitational anomaly? Where was this?",4.212,9,1,0,0
"Now, I'm real happy that you're excited about gravity, bud...",3.293,10,0,0,1
but you're not getting any answers from us until I get assurances.,3.211,12,0,0,0
- Assurances? - Yeah.,1.292,4,1,0,0
"Like, that we're getting out of here. And I don't mean in the trunk of some car.",3.461,17,0,0,0
"Don't you know who we are, Coop?",2.126,7,1,0,0
"No, professor, I don't.",1.25,4,0,0,0
"You know my father, Professor Brand.",2.001,6,0,0,0
We're NASA.,1.292,2,0,0,0
- NASA? - NASA.,2.209,4,1,0,0
The same NASA you flew for.,1.793,6,0,0,0
"I heard they shut you down, sir...",1.668,7,0,0,1
for refusing to drop bombs from the stratosphere...,2.293,8,0,0,1
onto starving people.,1.542,3,0,0,0
When they realized that killing other people was...,2.335,8,0,0,1
"not a long-term solution, then they needed us back.",2.835,9,0,0,0
- In secret. - Why secret?,2.001,6,1,0,0
Because public opinion wouldn't allow spending on space exploration.,3.836,9,0,0,0
Not while you're struggling to put food on the table.,2.293,10,0,0,0
Blight.,1.166,1,0,0,0
Wheat seven years ago. Okra this year.,3.836,7,0,0,0
Now there's just corn.,1.667,4,0,0,0
And we're growing more than we ever have.,1.959,8,0,0,0
But like the potatoes in Ireland and the wheat in the Dust Bowl...,4.17,13,0,0,1
the corn will die.,2.502,4,0,0,0
Soon.,1.042,1,0,0,0
"We'll find a way, professor. We always have.",3.586,8,0,0,0
Driven by the unshakable faith the Earth is ours.,4.003,9,0,0,0
"Not just ours, no.",1.876,4,0,0,0
But it is our home.,1.334,5,0,0,0
Earth's atmosphere is 80 percent nitrogen.,3.335,6,0,0,0
We don't even breathe nitrogen.,1.709,5,0,0,0
"Blight does. And as it thrives, our air gets less and less oxygen.",5.338,13,0,0,0
The last people to starve will be the first to suffocate.,3.46,11,0,0,0
And your daughter's generation...,2.168,4,0,0,1
will be the last to survive on Earth.,2.252,8,0,0,0
Murph is tired. I was wondering if she could take a nap in my office.,3.585,15,0,0,0
Yeah. Thank you.,1.5,3,0,0,0
Okay...,1.042,1,0,0,1
now you need to tell me what your plan is to save the world.,3.502,14,0,0,0
We're not meant to save the world. We're meant to leave it.,3.503,12,0,0,0
Rangers.,1.042,1,0,0,0
"The last components of our one versatile ship in orbit, the Endurance.",4.962,12,0,0,0
Our final expedition.,1.626,3,0,0,0
You sent people out there looking for a new home?,2.96,10,1,0,0
The Lazarus missions.,1.292,3,0,0,0
"- Oh, that sounds cheerful. - Lazarus came back from the dead.",2.96,12,0,0,0
"Sure, but he had to die in the first place.",2.001,10,0,0,0
There's not a planet in our solar system that could sustain life...,2.71,12,0,0,1
and the nearest star's over a thousand years away.,2.502,9,0,0,0
That doesn't even qualify as futile.,2.669,6,0,0,0
Where'd you send them?,1.334,4,1,0,0
Cooper...,1.417,1,0,0,1
I can't tell you anymore unless you agree...,2.793,8,0,0,1
to pilot this craft.,1.834,4,0,0,0
- You're the best pilot we ever had. - I barely left the stratosphere.,3.294,14,0,0,0
This team never left the simulator.,2.126,6,0,0,0
"We need a pilot, and this is the mission that you were trained for.",3.794,14,0,0,0
Without even knowing it?,1.501,4,1,0,0
"An hour ago, you didn't even know I was alive. You were going anyway.",4.254,14,0,0,0
We had no choice.,1.709,4,0,0,0
But something sent you here.,1.751,5,0,0,0
"- They chose you. - Who's ""they""?",2.71,7,1,0,0
How long would I be gone?,1.918,6,1,0,0
Hard to know. Years?,2.919,4,1,0,0
"I've got kids, professor.",1.626,4,0,0,0
Get out there and save them.,2.043,6,0,0,0
"Who's ""they""?",1.376,2,1,0,0
We started detecting gravitational anomalies almost 50 years ago.,3.794,9,0,0,0
Mostly small distortions to our instruments in the upper atmosphere.,3.627,10,0,0,0
"In fact, I believe you encountered one yourself.",3.127,8,0,0,0
"Yeah, over the Straights.",2.001,4,0,0,0
My crash. Something tripped my fly-by-wire.,3.043,6,0,0,0
Exactly.,1.209,1,0,0,0
"But of all these anomalies, the most significant is this:",4.92,10,0,0,0
Out near Saturn...,2.001,3,0,0,1
a disturbance of space-time.,2.084,4,0,0,0
- Is that a wormhole? - It appeared 48 years ago.,3.127,11,1,0,0
And it leads where?,1.917,4,1,0,0
Another galaxy.,1.626,2,0,0,0
A wormhole's not a naturally occurring phenomenon.,2.251,7,0,0,0
Someone placed it there.,1.417,4,0,0,0
"- ""They""? - Mm.",1.501,4,1,0,0
"And whoever they are, they appear to be looking out for us.",4.087,12,0,0,0
That wormhole lets us travel to other stars.,2.584,8,0,0,0
It came along right as we needed it.,1.918,8,0,0,0
They've put potentially habitable worlds right within our reach.,2.918,9,0,0,0
"Twelve, in fact, from our initial probes.",1.918,7,0,0,0
- You sent probes into that? - Mm-hm.,2.376,8,1,0,0
We sent people into it. Ten years ago.,3.002,8,0,0,0
The Lazarus missions.,1.668,3,0,0,0
Twelve possible worlds...,1.24,3,0,0,1
twelve Ranger launches carrying...,2.334,4,0,0,1
the bravest humans ever to live...,2.418,6,0,0,1
led by the remarkable Dr. Mann.,2.627,6,0,0,0
Each person's landing pod had enough life support for two years.,3.002,11,0,0,0
But they could use hibernation to stretch that...,1.959,8,0,0,1
making observations on organics over a decade or more.,3.211,9,0,0,0
"Their mission was to assess their world, and if it showed potential...",3.836,12,0,0,1
"then they could send out a signal, bed down for the long nap, wait to be rescued.",4.421,17,0,0,0
And what if the world didn't show promise?,2.043,8,1,0,0
Hence the bravery.,1.417,3,0,0,0
You don't have the resources to visit all 12.,2.543,9,0,0,0
No.,1.125,1,0,0,0
Data transmission back through the wormhole is rudimentary.,2.794,8,0,0,0
Simple binary pings on an annual basis give us,2.565,9,0,0,0
some clue as to which worlds have potential.,2.468,8,0,0,0
And one system shows promise.,1.793,5,0,0,0
"One. That's a bit of a long shot, isn't it?",2.543,10,1,0,0
One system with three potential worlds?,2.835,6,1,0,0
No long shot.,1.584,3,0,0,0
Okay.,1.125,1,0,0,0
So if we find a home...,2.334,6,0,0,1
- then what? - That's the long shot.,3.461,8,1,0,0
There's a Plan A and a Plan B.,3.211,8,0,0,0
Did you notice anything strange about the launch chamber?,2.961,9,1,0,0
This entire facility's a centrifuge.,2.918,5,0,0,0
Some kind of vehicle. A space station?,2.501,7,1,0,0
Both. Plan A.,1.751,3,0,0,0
How do you get it off the ground?,2.084,8,1,0,0
The first gravitational anomalies changed everything.,3.669,6,0,0,0
Suddenly we knew that harnessing gravity was real.,4.337,8,0,0,0
So I started working on a theory and we started building this station.,4.671,13,0,0,0
But you haven't solved it yet.,2.084,6,0,0,0
That's why there's Plan B.,1.542,5,0,0,0
The problem is gravity. How to get a viable amount of human life off the planet.,4.712,16,0,0,0
This is one way.,1.292,4,0,0,0
Plan B: a population bomb.,2.501,5,0,0,0
"Over 5,000 fertilized eggs weighing in at just under 900 kilos.",4.754,11,0,0,0
How would you raise them?,1.5,5,1,0,0
"With equipment on board, we incubate the first 10.",2.46,9,0,0,0
"After that, with surrogacy, the growth becomes exponential.",3.878,8,0,0,0
"Within 30 years, we could have a colony of hundreds.",3.294,10,0,0,0
